bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
fluidanimate,lpbt_s_latop_noci_nndbt_injej_none,,23521704820.0,71102671.0,10166313952.0,8367.013072,4495653949.0,89252876.0,1.132923126878946
fluidanimate,lpbt_m_latop_noci_nndbt_injej_none,,23471804252.0,71320963.0,10163894536.0,8198.539085,4498001921.0,88929770.0,1.1316736862348806
fluidanimate,kite_large_noci_nndbt_injej_none,,23737188347.0,71455829.0,10120838110.0,8579.889355,4508870404.0,90194570.0,1.11904924890027
fluidanimate,kite_small_noci_nndbt_injej_none,,23245470134.0,69199963.0,10182305918.0,7071.438407,4451103411.0,88268334.0,1.1476254655609088
fluidanimate,ft_x_noci_nndbt_injej_none,,23284256322.0,70834600.0,10133270019.0,7904.292776,4465354063.0,88289103.0,1.1330168220691916
fluidanimate,kite_medium_noci_nndbt_injej_none,,23441449844.0,70760414.0,10196295621.0,7844.25269,4501068274.0,88525713.0,1.1378617031417522
fluidanimate,dbl_bfly_x_noci_nndbt_injej_none,,24320795078.0,73132896.0,10199791546.0,9266.077406,4661541812.0,92020329.0,1.099298394833051
fluidanimate,butter_donut_x_noci_nndbt_injej_none,,24131628909.0,71417991.0,10199304344.0,8590.819249,4567635466.0,90361475.0,1.122179979328107
fluidanimate,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23092752609.0,70094786.0,10177415388.0,6903.644212,4423718731.0,87281520.0,1.1534432423143521
fluidanimate,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23025453276.0,70312136.0,10174201065.0,6884.210779,4420729976.0,87397542.0,1.1538323526413676
fluidanimate,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23233883932.0,69323775.0,10141699999.0,6496.448208,4367822549.0,85750549.0,1.160058408326286
fluidanimate,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,23401464113.0,71483919.0,10216917457.0,6954.229726,4487262248.0,87662808.0,1.1460782405424874
